machine_id,machine_type,manufacturer,model_year,machine_age_years,warranty_status,operating_hours_per_day,load_percentage,vibration_level_mm_s,temperature_celsius,pressure_bar,rpm,power_consumption_kw,noise_level_db,days_since_last_maintenance,maintenance_count_last_year,last_maintenance_type,technician_skill_level,parts_replaced_count,lubrication_quality,alignment_status,ambient_temperature_c,humidity_percentage,dust_exposure_level,corrosion_level,oil_quality_index,bearing_temperature_c,current_amps,voltage_volts,torque_nm,startup_cycles_per_day,emergency_stops_count,overloads_count_last_month,failure_next_30days
MCH_00000011,Compressor,Siemens,2018,6,Expired,20,77,3.35,82.9,8.45,1682,7.57,81,75,3,Preventive,Expert,3,Excellent,Aligned,32.9,47,Medium,Minor,77,55.9,19.14,469.9,178.57,3,1,3,No
MCH_00000012,Generator,ABB,2011,13,Expired,16,72,1.03,68.7,8.41,1909,9.89,83,22,2,Preventive,Expert,2,Good,Aligned,28.1,70,Medium,Minor,54,54.9,51.3,427,167.7,1,0,0,No
MCH_00000013,Generator,ABB,2019,5,Expired,19,64,0.09,62.6,9.47,1852,12.08,74,40,2,Preventive,Junior,4,Excellent,Slightly Off,25.5,43,Medium,Minor,82,50.3,73.62,427,105.59,3,0,2,No
MCH_00000014,Pump,Other,2013,11,Expired,16,64,,86.7,6.39,2064,49.23,59,1,5,Preventive,Intermediate,1,Excellent,Aligned,34.6,51,Medium,Severe,100,54.2,53.08,426.8,247.06,2,2,0,Yes
MCH_00000015,Pump,Siemens,2010,14,Expired,6,83,5.45,81.2,7.18,1473,36.87,93,55,4,Corrective,Junior,2,Good,Aligned,37.1,47,Low,Minor,100,43.9,47.62,477.1,189.39,3,1,1,Yes
MCH_00000016,Motor,Siemens,2016,8,Expired,24,70,0.6,74.6,6.07,1781,5.4,79,39,6,Emergency,Senior,3,Good,Aligned,21.5,59,Medium,Minor,78,47.6,58.39,438,183.78,3,0,0,No
MCH_00000017,Motor,Schneider,2021,3,Under Warranty,19,86,0.27,72.2,6.58,1940,40.04,76,17,3,Corrective,Senior,4,Fair,Aligned,38.4,52,Low,None,75,60.9,40.69,446.4,248.46,3,1,0,No
MCH_00000018,Pump,Siemens,2012,12,Expired,20,70,5.75,56.3,7.94,2084,42.8,64,3,3,Overhaul,Senior,0,Good,Misaligned,26.8,65,Medium,None,94,32.8,50.6,419.4,161.28,1,0,4,No
MCH_00000019,Generator,GE,2020,4,Expired,19,88,4.06,80.6,8.26,1866,3.77,79,64,6,Corrective,Senior,1,Good,Aligned,28.5,82,Medium,Minor,94,65.3,61.29,440.3,236.09,2,0,1,No
MCH_00000020,Conveyor,ABB,2017,7,Expired,19,100,0.54,69.6,8.37,1685,10.72,66,85,6,Corrective,Intermediate,6,Fair,Aligned,22.6,77,Medium,Severe,60,65.1,30.81,442.9,268.13,7,0,1,No
MCH_00000021,Pump,Siemens,2021,3,Under Warranty,17,79,0.14,73.7,8.3,1832,45.82,79,11,6,Preventive,Junior,3,Excellent,Aligned,24.7,72,Low,Minor,100,53.2,65.38,447.4,206.27,2,0,1,No
MCH_00000022,Motor,Schneider,2010,14,Expired,20,76,0.55,67.6,8.55,1586,9.71,79,12,4,Preventive,Senior,1,Fair,Slightly Off,29,61,Low,None,63,43.8,46.41,453.5,242.78,1,0,5,Yes
MCH_00000023,Motor,ABB,2007,17,Expired,24,80,3.19,64.7,12.43,2303,12.8,70,13,5,Preventive,Junior,0,Fair,Aligned,10.4,75,High,Minor,77,66,46.15,436.3,205.95,5,3,0,No
MCH_00000024,Compressor,Siemens,2021,3,Under Warranty,18,84,0.73,64,8.59,1763,24.81,70,18,1,Corrective,Junior,0,Good,Aligned,19,50,Medium,Moderate,100,73.8,43.24,441.2,206.58,8,1,1,No
MCH_00000025,Generator,GE,2010,14,Expired,17,90,1.65,77.2,7.07,2115,223.02,62,46,4,Corrective,Junior,1,Good,Slightly Off,32.8,64,Low,Moderate,72,60.2,27.89,414.2,224.3,3,0,0,No
MCH_00000026,Conveyor,GE,2019,5,Expired,17,73,5.89,84.6,8.46,1434,47.11,74,22,2,Corrective,Intermediate,1,Good,Aligned,19,38,Low,None,70,65.5,46.95,436.3,256.66,4,0,0,No
MCH_00000027,Valve,Other,2020,4,Expired,9,67,5.43,55.3,7.79,2671,34.24,70,41,4,Preventive,Junior,1,Good,Misaligned,19.4,63,Medium,None,92,25.7,27.51,440.9,186.53,1,0,0,No
MCH_00000028,Motor,Other,2007,17,Expired,18,64,3.14,38.7,6.16,1946,40.1,71,43,2,Corrective,Intermediate,5,Good,Aligned,14.1,52,High,Moderate,61,32.6,70.41,446,202.02,3,0,1,Yes
MCH_00000029,Pump,GE,2007,17,Expired,15,89,2.17,79.6,7.78,2153,0.73,79,90,8,Preventive,Junior,4,Good,Slightly Off,21,42,Low,None,58,55.7,63.21,418.2,212.91,6,1,0,Yes
MCH_00000030,Generator,Mitsubishi,2022,2,Under Warranty,16,68,2.44,71.3,7.67,1699,32.25,79,67,4,Preventive,Senior,2,Good,Slightly Off,27.4,65,Medium,Minor,85,44.2,47.19,433.6,262.3,1,0,0,No
MCH_00000031,Conveyor,Siemens,2021,3,Under Warranty,19,57,,58.9,9.05,2325,6.81,66,53,0,Corrective,Senior,2,Excellent,Aligned,31.8,65,Medium,None,79,63.8,34.72,427.9,147.87,3,0,0,No
MCH_00000032,Motor,Mitsubishi,2023,1,Under Warranty,18,88,0.41,48.4,7.57,2106,254.62,56,40,1,Emergency,Senior,0,Fair,Aligned,27.4,72,High,Minor,63,68.7,34.32,448.8,230.44,1,0,1,No
MCH_00000033,Conveyor,ABB,2014,10,Expired,15,79,2.1,49.5,7.66,1965,96.9,68,15,2,Preventive,Senior,1,Fair,Aligned,31.2,81,High,None,68,53.7,46.82,436.2,152.66,1,0,2,No
MCH_00000034,Generator,ABB,2007,17,Expired,10,74,1.1,31.8,9.68,1464,24.37,75,1,5,Preventive,Junior,1,Excellent,Aligned,29,60,Low,Moderate,66,71.7,52.72,459.3,194.89,2,1,1,No
MCH_00000035,Motor,GE,2008,16,Expired,22,95,4.99,61.4,6.97,1834,82.28,63,34,1,Emergency,Senior,2,Good,Slightly Off,39.2,62,Medium,Moderate,73,56.9,41.6,482.7,176.47,4,0,1,Yes
MCH_00000036,Compressor,Schneider,2013,11,Expired,12,70,0.12,45.5,5,2430,72.11,85,42,4,Corrective,Junior,0,Poor,Slightly Off,20.6,86,Medium,None,78,60.4,45.61,476.6,179.92,4,0,1,No
MCH_00000037,Motor,Siemens,2014,10,Expired,18,79,0.83,37.2,9.54,1558,8.98,77,4,8,Preventive,Senior,4,Good,Aligned,15.4,51,Low,Minor,75,54.7,30.53,410.5,254.56,2,0,1,No
MCH_00000038,Compressor,Siemens,2011,13,Expired,15,72,0.12,56.3,9.75,1252,24.34,72,110,11,Emergency,Intermediate,1,Good,Slightly Off,27.1,66,High,Minor,100,38.1,42.38,457.4,284.48,5,0,1,No
MCH_00000039,Pump,Mitsubishi,2006,18,Expired,12,30,4.54,48.7,5.77,1377,154.71,71,10,4,Emergency,Senior,0,Excellent,Slightly Off,22.9,54,Medium,None,54,77.4,44.32,399.3,233.71,1,0,3,No
MCH_00000040,Compressor,Siemens,2023,1,Under Warranty,20,77,4.25,28.2,9.7,1675,15.93,86,37,0,Preventive,Expert,3,Fair,Aligned,38.2,56,Low,None,89,51.5,52.58,457.2,191.09,3,0,1,No
MCH_00000041,Conveyor,Siemens,2005,19,Expired,24,42,0.03,77.6,9.13,1484,14.34,80,48,2,Overhaul,Intermediate,3,Fair,Aligned,20.5,74,Low,None,82,62.2,54.91,466.7,22.67,3,0,0,No
MCH_00000042,Compressor,ABB,2017,7,Expired,16,81,10.02,56.5,8.99,2104,34.67,71,11,4,Preventive,Senior,1,Fair,Aligned,29.2,88,Medium,None,43,58.9,64.72,470.6,195.69,4,0,0,No
MCH_00000043,Generator,Siemens,2013,11,Expired,16,91,4.7,88.2,8.78,1987,114.66,70,3,5,Preventive,Junior,2,Good,Aligned,28.4,57,High,Minor,82,60.2,65.78,416.9,178.77,6,0,0,No
MCH_00000044,Conveyor,Schneider,2012,12,Expired,18,62,0.36,54.4,10.69,2009,7.33,65,31,5,Corrective,Junior,2,Excellent,Misaligned,20.5,32,Medium,Moderate,,52.4,52.67,431.9,142.89,4,0,0,Yes
MCH_00000045,Generator,ABB,2009,15,Expired,15,75,0.47,71.3,6.78,1513,35.1,80,27,1,Preventive,Intermediate,4,Excellent,Aligned,33.3,72,Low,None,90,48,43.76,436.7,,5,1,1,No
MCH_00000046,Motor,Siemens,2006,18,Expired,14,70,0.75,71,8.38,1272,68.83,57,14,6,Preventive,Junior,2,Fair,Aligned,30.9,69,Low,None,100,52.3,55.84,439.5,285.4,2,1,2,No
MCH_00000047,Conveyor,GE,2012,12,Expired,17,83,15.79,74.5,10.22,1746,29.55,79,20,6,Preventive,Intermediate,1,Excellent,Slightly Off,20.3,53,Low,None,77,67.6,50.94,475.8,257.93,3,1,0,Yes
MCH_00000048,Generator,Siemens,2016,8,Expired,9,87,10.14,71.3,7.8,1761,26.11,73,27,7,Preventive,Intermediate,2,Poor,Aligned,33.8,37,High,None,100,85.1,45.64,455.3,119,2,0,1,Yes
MCH_00000049,Conveyor,ABB,2018,6,Expired,17,83,0.13,56.5,10.2,1878,124.87,69,1,4,Preventive,Intermediate,3,Excellent,Aligned,21.2,94,Low,Severe,69,65.4,28.37,455.5,208.8,2,0,1,No
MCH_00000050,Conveyor,GE,2020,4,Expired,18,66,1.19,53.3,6.99,1600,35.69,85,141,4,Corrective,Intermediate,3,Excellent,Aligned,19.1,38,Low,Minor,65,70.6,53.25,454.9,115.41,3,1,1,No
MCH_00000051,Generator,Other,2005,19,Expired,11,74,0.15,60.9,7.65,1602,33.81,68,33,4,Corrective,Intermediate,2,Fair,Aligned,15.6,60,High,Severe,,43.4,35.17,463.3,163.94,2,0,1,No
MCH_00000052,Motor,Other,2011,13,Expired,23,70,12.54,43.8,8.34,2217,13.94,78,59,2,Preventive,Expert,2,Fair,Misaligned,22.9,33,Medium,None,81,39.1,40.15,423.6,227.75,1,0,1,No
MCH_00000053,Motor,Mitsubishi,2007,17,Expired,19,58,0.04,77.2,9.42,1436,51.37,70,27,3,Emergency,Junior,2,Good,Aligned,34.1,63,Low,None,,40.1,30.16,444.6,185.67,5,1,0,No
MCH_00000054,Generator,Siemens,2020,4,Expired,14,73,1.22,73.9,10.95,1519,13.35,86,39,3,Preventive,Intermediate,1,Fair,Aligned,23.1,71,Medium,None,53,36.8,33.7,427.3,178.75,2,0,4,No
MCH_00000055,Pump,GE,2015,9,Expired,19,83,2.5,60.9,13.19,1214,112.44,74,10,4,Corrective,Junior,2,Good,Aligned,30.6,41,High,Moderate,75,39.5,46.57,454,166.63,4,0,0,No
MCH_00000056,Conveyor,Siemens,2019,5,Expired,15,70,1.44,80.2,7.95,2077,29.14,88,9,7,Preventive,Expert,0,Fair,Aligned,22.1,82,Medium,Moderate,78,41.3,36.99,465.3,157.56,1,0,5,No
MCH_00000057,Compressor,ABB,2008,16,Expired,5,73,3.54,68.5,6.45,1320,19.91,73,86,3,Preventive,Intermediate,1,Fair,Slightly Off,28,50,Low,None,48,45,62.34,462.5,202.68,2,0,0,No
MCH_00000058,Compressor,GE,2008,16,Expired,14,98,0.32,94,5.99,2225,49.5,62,69,5,Preventive,Senior,5,Fair,Slightly Off,11.2,79,Low,None,77,59,37.9,452.9,306.77,3,1,3,No
MCH_00000059,Conveyor,Other,2015,9,Expired,10,63,1.08,63.9,8.25,1646,4.17,92,10,4,Preventive,Senior,2,Excellent,Slightly Off,21.5,62,Low,Minor,77,52.1,24.68,415.5,209.99,3,0,0,No
MCH_00000060,Motor,Siemens,2007,17,Expired,12,62,,66.8,7.72,1467,38.69,82,59,5,Preventive,Intermediate,0,Excellent,Slightly Off,21.1,81,Low,Minor,64,37.3,49.5,457.6,194.8,6,2,2,No
MCH_00000061,Generator,Mitsubishi,2013,11,Expired,16,93,,54.4,7.2,1788,49.21,57,20,9,Corrective,Expert,0,Excellent,Aligned,24.1,44,Medium,Moderate,88,43,67.65,415.7,228.7,3,0,0,No
MCH_00000062,Generator,Other,2010,14,Expired,22,64,1.78,86.5,4.87,1700,2.35,78,27,3,Preventive,Intermediate,1,Fair,Misaligned,24.2,56,Medium,None,48,66.2,38.94,436.2,203.14,4,0,4,Yes
MCH_00000063,Generator,GE,2014,10,Expired,16,69,2.6,75.6,7.41,1913,3.95,89,16,5,Corrective,Intermediate,3,Fair,Slightly Off,33.9,34,Medium,Minor,75,51,66.22,411.7,177.91,4,1,1,No
MCH_00000064,Motor,GE,2007,17,Expired,18,79,1.45,34.6,6.58,2524,0.93,93,17,1,Corrective,Senior,1,Good,Aligned,11,68,Medium,Minor,62,76.3,28.48,429,,4,0,2,No
MCH_00000065,Motor,Schneider,2006,18,Expired,16,91,0.34,70,9.49,2371,32.96,98,47,4,Corrective,Expert,0,Fair,Misaligned,28,67,Low,None,79,59.6,48.26,420.5,255.83,2,0,1,Yes
MCH_00000066,Conveyor,Mitsubishi,2011,13,Expired,17,88,5.16,60.3,5.78,1495,6.78,80,11,7,Preventive,Junior,3,Poor,Aligned,20.5,77,Medium,Minor,60,66.9,81.18,437.6,183.06,3,0,1,Yes
MCH_00000067,Pump,ABB,2008,16,Expired,22,89,0.61,60.6,6.52,1797,8.48,80,59,1,Overhaul,Intermediate,4,Fair,Aligned,32.7,37,Medium,Severe,55,66.6,48,441.1,143.34,3,1,2,No
MCH_00000068,Motor,Siemens,2016,8,Expired,16,80,2.39,75.5,4.24,2229,117.08,74,5,3,Preventive,Senior,0,Fair,Misaligned,17.5,61,Low,Minor,79,49.1,56.92,437.6,132.65,2,0,1,No
MCH_00000069,Motor,Siemens,2016,8,Expired,19,89,2.02,53.9,9.28,1574,3.1,78,30,4,Corrective,Intermediate,2,Good,Slightly Off,21.8,56,Low,None,68,65.1,51.84,430.8,127.26,2,0,0,No
MCH_00000070,Pump,Schneider,2010,14,Expired,15,86,0.76,66.8,10.07,2231,61.09,87,51,5,Preventive,Junior,4,Fair,Aligned,17.3,23,Low,Minor,64,48.3,47.19,409.9,200.8,4,1,1,No
MCH_00000071,Compressor,Siemens,2012,12,Expired,7,88,2.19,66.3,11.92,1859,36.4,97,36,3,Emergency,Senior,1,Good,Aligned,5.2,40,Low,None,76,44.8,69.38,455.4,190.31,8,0,0,No
MCH_00000072,Pump,Siemens,2019,5,Expired,20,45,2.18,45.6,7.66,1310,87.25,70,38,3,Preventive,Intermediate,2,Good,Aligned,12.4,63,Low,None,73,36.6,30.53,406.4,184.67,2,1,1,No
MCH_00000073,Pump,Other,2015,9,Expired,18,73,3.06,47.7,7.28,2157,97.8,58,42,4,Overhaul,Senior,1,Excellent,Aligned,35.5,62,High,None,,57.3,36.94,404.6,191.34,2,1,1,No
MCH_00000074,Motor,Siemens,2012,12,Expired,14,87,6.79,51.3,8.99,1838,26.74,71,22,8,Corrective,Senior,4,Fair,Aligned,46.5,78,Low,Minor,78,55.7,36.21,429.9,211.44,6,0,0,Yes
MCH_00000075,Pump,Schneider,2006,18,Expired,16,69,5.38,24.6,9.87,2506,34.04,78,145,3,Emergency,Senior,1,Fair,Aligned,28.4,20,Low,Minor,77,55.4,60.54,458,189.12,2,0,0,Yes
MCH_00000076,Pump,Siemens,2014,10,Expired,16,48,3.46,44.5,11.84,1543,12.06,87,71,3,Corrective,Expert,2,Good,Slightly Off,31.8,49,Low,None,71,71.9,38.93,431.7,224.89,3,0,2,No
MCH_00000077,Motor,Schneider,2017,7,Expired,21,100,1.69,84.5,5.68,1922,23.92,73,32,4,Preventive,Expert,2,Poor,Slightly Off,34.5,60,Low,None,82,35.3,50.56,420.2,163.35,4,0,0,No
MCH_00000078,Generator,ABB,2007,17,Expired,19,74,3.02,35.6,6.63,2025,12.5,93,6,3,Overhaul,Expert,0,Poor,Slightly Off,33.2,59,Medium,Minor,79,82.9,78.84,428.9,135.1,5,0,1,Yes
MCH_00000079,Motor,Other,2008,16,Expired,13,91,2.41,75,6.57,1629,16.78,74,34,3,Preventive,Senior,1,Good,Aligned,39,48,Low,Moderate,89,47,18.38,453.5,194.36,5,1,4,No
MCH_00000080,Motor,GE,2019,5,Expired,5,74,0.75,85.7,7.25,1649,2.25,81,47,4,Corrective,Intermediate,1,Excellent,Aligned,23.4,77,High,Minor,44,32,59.37,406.2,193.91,4,0,0,No
MCH_00000081,Valve,Other,2015,9,Expired,19,93,2.62,53.7,8.97,1917,20.45,83,7,5,Corrective,Expert,4,Good,Slightly Off,26,61,Medium,None,73,59,64.29,495.7,212.02,3,1,3,No
MCH_00000082,Motor,ABB,2020,4,Expired,13,69,2.06,30,2.68,2134,168.41,82,31,6,Corrective,Intermediate,2,Good,Slightly Off,38,61,Low,None,68,49.8,33.47,428.8,154.64,4,0,0,No
MCH_00000083,Compressor,GE,2010,14,Expired,11,64,6.25,69.7,5.43,1297,10.07,68,46,4,Preventive,Senior,2,Good,Aligned,26.2,47,Medium,Moderate,79,48.4,19.49,445.6,270.74,1,1,0,No
MCH_00000084,Conveyor,ABB,2006,18,Expired,14,75,0.94,49.7,5.77,2134,7.52,93,18,5,Preventive,Senior,1,Good,Aligned,19.3,37,Medium,None,77,63.8,59.46,437.1,265.43,1,0,2,No
MCH_00000085,Conveyor,Schneider,2005,19,Expired,13,94,0.38,25,1.8,1608,1.28,71,28,3,Corrective,Expert,2,Good,Aligned,16.1,89,Low,Minor,91,30.9,43.38,461.2,228,2,1,0,No
MCH_00000086,Valve,GE,2014,10,Expired,20,52,0.23,76.3,6.2,1461,43.28,77,18,3,Preventive,Expert,1,Good,Aligned,25.1,60,Medium,Minor,84,42,44.43,434,130.33,2,1,0,No
MCH_00000087,Generator,Schneider,2009,15,Expired,18,71,6.19,54.2,6.92,1994,93.02,80,47,6,Preventive,Intermediate,3,Poor,Aligned,41.8,73,Low,Minor,71,37.4,40.68,419.4,188.04,1,0,1,No
MCH_00000088,Motor,Siemens,2023,1,Under Warranty,11,100,6.55,45.7,6.7,1493,59.9,74,3,10,Corrective,Junior,3,Good,Aligned,23.9,54,Low,Minor,,78.2,65.15,431.3,100.69,3,1,1,No
MCH_00000089,Motor,GE,2015,9,Expired,14,68,4.99,82.9,6.44,1933,101.92,78,25,4,Preventive,Senior,1,Excellent,Aligned,13.4,48,Medium,Severe,81,67.8,36.36,458.7,240.38,2,1,0,Yes
MCH_00000090,Compressor,ABB,2014,10,Expired,12,81,,46.6,9.98,2567,58.22,71,65,2,Preventive,Intermediate,1,Good,Aligned,16.1,68,Medium,Minor,66,48.2,39.23,417.6,170.87,3,0,1,No
MCH_00000091,Compressor,Mitsubishi,2022,2,Under Warranty,16,93,2.1,75.4,10.41,1753,78.46,60,56,4,Overhaul,Junior,3,Fair,Slightly Off,37.3,38,Medium,None,70,51.4,33.37,444.7,148.64,1,0,4,No
MCH_00000092,Valve,ABB,2018,6,Expired,14,44,11.13,69.7,7.44,2370,56.16,50,32,4,Preventive,Senior,2,Excellent,Misaligned,18.4,52,Medium,None,85,45.3,86.66,439.3,158.68,1,1,0,Yes
MCH_00000093,Motor,Mitsubishi,2013,11,Expired,17,100,2.1,46.4,2.12,999,12.45,65,50,2,Overhaul,Intermediate,3,Poor,Slightly Off,45.4,74,High,Minor,77,51.8,34.77,409.2,241.63,3,1,1,No
MCH_00000094,Pump,ABB,2023,1,Under Warranty,11,92,1.52,69.4,5.82,1751,21.07,84,8,2,Corrective,Junior,1,Excellent,Aligned,21.9,48,Medium,None,85,71,58.97,450.1,205.93,2,0,2,No
MCH_00000095,Motor,Other,2007,17,Expired,10,100,4.51,73.6,8.01,1730,42.26,60,7,4,Corrective,Senior,1,Excellent,Aligned,26,37,Medium,Severe,74,58.1,53.9,441.1,179.38,6,2,0,No
MCH_00000096,Pump,GE,2013,11,Expired,13,71,5.74,72.5,7.16,2133,36.35,78,80,3,Preventive,Intermediate,3,Good,Aligned,5,69,Medium,None,61,68.6,61.99,407.3,287.85,4,2,1,No
MCH_00000097,Motor,Siemens,2015,9,Expired,10,100,3.84,69,9.6,1855,200.26,74,29,4,Corrective,Intermediate,2,Excellent,Slightly Off,17.9,39,Low,None,63,77.5,47.26,423.8,221.37,3,1,1,No
MCH_00000098,Generator,Siemens,2008,16,Expired,14,64,4.75,81.3,8.77,1431,56.59,94,16,8,Corrective,Intermediate,1,Good,Aligned,22.8,81,Medium,Minor,89,41.2,71.85,420.8,300.06,4,1,0,No
MCH_00000099,Conveyor,Mitsubishi,2017,7,Expired,19,66,3.3,41,10.01,2403,58.19,90,52,2,Corrective,Expert,1,Excellent,Aligned,22.3,66,High,Minor,63,55.4,68.65,447.1,303.96,3,0,1,No
MCH_00000100,Pump,Other,2008,16,Expired,17,91,1.65,61.7,7.88,1794,14.65,79,87,6,Preventive,Junior,1,Good,Slightly Off,28.6,79,Medium,Minor,45,38.5,39.93,446.1,275.36,3,0,1,No
MCH_00000101,Pump,Schneider,2006,18,Expired,16,57,0.02,70.4,8.58,2347,9.75,70,36,8,Emergency,Expert,3,Good,Aligned,22.5,56,Medium,None,94,48.6,43.09,424.8,203.93,2,0,2,No
MCH_00000102,Compressor,Mitsubishi,2017,7,Expired,18,51,0.49,78.5,5.9,1489,68.62,64,55,6,Preventive,Junior,1,Good,Slightly Off,23.4,62,High,Minor,82,66,54.44,435.1,312.43,2,0,0,No
MCH_00000103,Pump,Other,2010,14,Expired,14,39,,55,7.36,1826,9.07,71,19,3,Preventive,Expert,4,Good,Aligned,24.2,40,Medium,Minor,66,80,37.39,405.3,202.63,1,0,1,Yes
MCH_00000104,Valve,Siemens,2014,10,Expired,9,99,0.32,59.9,7.37,2153,6.57,82,67,5,Preventive,Senior,0,Good,Aligned,24.2,53,Low,Minor,60,74,28.67,412.4,268.61,6,0,1,No
MCH_00000105,Motor,Siemens,2023,1,Under Warranty,7,65,1.02,89.2,7.84,1864,14.28,80,81,2,Preventive,Senior,3,Fair,Aligned,35.7,67,High,None,100,65.2,32.36,440.3,169.57,4,0,0,Yes
MCH_00000106,Motor,Schneider,2021,3,Under Warranty,14,80,0.9,71.6,6.74,1744,9.15,64,69,7,Corrective,Senior,2,Excellent,Aligned,23.9,67,Low,Minor,65,53,62.94,444.6,215.04,5,1,1,No
MCH_00000107,Compressor,GE,2016,8,Expired,16,79,2.22,49.8,8.52,1426,39.72,78,130,1,Preventive,Senior,0,Fair,Slightly Off,20.2,56,Medium,Minor,67,59.5,73.69,426.4,256.96,1,0,1,No
MCH_00000108,Compressor,ABB,2013,11,Expired,13,75,5.81,50.9,7.65,2194,11.8,67,24,6,Preventive,Senior,2,Fair,Slightly Off,21.7,76,Low,Minor,87,40.1,44.46,449.4,153.4,3,0,2,No
MCH_00000109,Pump,Schneider,2012,12,Expired,13,65,1.58,51.3,7.39,1805,154.26,82,25,5,Corrective,Senior,5,Excellent,Aligned,28.3,41,Low,None,84,62.1,53.8,433.9,213.67,3,0,0,No
MCH_00000110,Pump,ABB,2006,18,Expired,12,100,2.86,101.9,7.34,1651,55.34,77,1,0,Preventive,Senior,5,Excellent,Misaligned,24.7,57,Medium,Minor,92,62.8,60.21,424,234.01,5,1,1,No
MCH_00000111,Compressor,Siemens,2017,7,Expired,17,71,4.89,87.9,10.9,2157,44.54,68,20,2,Preventive,Intermediate,1,Good,Aligned,17.8,69,High,Moderate,60,47.8,39.76,435.4,287.59,4,1,0,Yes
MCH_00000112,Compressor,Schneider,2022,2,Under Warranty,18,77,1.68,49.6,9.95,825,2.33,94,54,5,Preventive,Intermediate,5,Good,Aligned,22.2,76,Low,Minor,86,48.9,51.89,452.1,237.15,2,0,3,No
MCH_00000113,Compressor,Other,2006,18,Expired,15,71,1.7,67.4,9.95,2215,57.91,61,2,3,Preventive,Senior,1,Good,Aligned,32.8,52,Low,Minor,95,71.8,18.06,425.4,222.61,5,1,1,No
MCH_00000114,Pump,GE,2022,2,Under Warranty,20,70,3.68,47.5,10.21,1880,17.56,67,148,5,Preventive,Intermediate,1,Fair,Slightly Off,23.6,61,Medium,Minor,73,59.3,22.99,490.3,246.77,3,0,0,Yes
MCH_00000115,Pump,Schneider,2006,18,Expired,15,68,0.26,46.5,5.34,1901,44.34,96,26,1,Preventive,Senior,2,Good,Aligned,17.7,73,Medium,Minor,44,83.6,71.95,436.5,179.83,3,0,0,No
MCH_00000116,Compressor,Siemens,2015,9,Expired,9,100,1.05,59.7,6.02,2130,10.75,82,121,4,Corrective,Intermediate,1,Good,Aligned,37.1,68,Medium,Minor,69,60.3,59.86,451.8,171.33,3,0,1,No
MCH_00000117,Conveyor,ABB,2007,17,Expired,12,67,1.67,42.8,6.36,2748,147.24,70,11,4,Corrective,Senior,4,Good,Aligned,25.2,49,Low,Severe,95,50.4,42.38,448.1,128.57,5,0,0,Yes
